Shares,Sum1,Sum2,Summation,Price In Wei,Buy Price In ETH,Sell Price in ETH
0,0,0,0,0,0,0
1,0,1,1,62500000000000,0.0000625,0
2,1,5,4,250000000000000,0.00025,0.0000625
3,5,14,9,562500000000000,0.0005625,0.00025
4,14,30,16,1000000000000000,0.001,0.0005625
5,30,55,25,1562500000000000,0.0015625,0.001
6,55,91,36,2250000000000000,0.00225,0.0015625
7,91,140,49,3062500000000000,0.0030625,0.00225
8,140,204,64,4000000000000000,0.004,0.0030625
9,204,285,81,5062500000000000,0.0050625,0.004
10,285,385,100,6250000000000000,0.00625,0.0050625
11,385,506,121,7562500000000000,0.0075625,0.00625
12,506,650,144,9000000000000000,0.009,0.0075625
13,650,819,169,1.05625E+016,0.0105625,0.009
14,819,1015,196,1.225E+016,0.01225,0.0105625
15,1015,1240,225,1.40625E+016,0.0140625,0.01225
16,1240,1496,256,1.6E+016,0.016,0.0140625
